text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
gasté 2500 en supermercado ayer,ADD_EXPENSE,YESTERDAY,ayer,SUPERMARKET,supermercado,2500,
gasté $3.200 en el super,ADD_EXPENSE,NONE,,SUPERMARKET,super,$3.200,
pagué 45000 de alquiler,ADD_EXPENSE,NONE,,RENT,alquiler,45000,
pagué el alquiler este mes,ADD_EXPENSE,THIS_MONTH,este mes,RENT,alquiler,,
gasté 1200 en comida hoy,ADD_EXPENSE,TODAY,hoy,FOOD,comida,1200,
gasté 800 en transporte ayer,ADD_EXPENSE,YESTERDAY,ayer,TRANSPORT,transporte,800,
gasté 500 en colectivo,ADD_EXPENSE,NONE,,TRANSPORT,colectivo,500,
pagué 2300 en farmacia,ADD_EXPENSE,NONE,,HEALTH,farmacia,2300,
gasté 15000 en médicos,ADD_EXPENSE,NONE,,HEALTH,médicos,15000,
gasté 6000 en servicios,ADD_EXPENSE,NONE,,SERVICES,servicios,6000,
pagué la luz 7200,ADD_EXPENSE,NONE,,SERVICES,luz,7200,
pagué el gas 5400,ADD_EXPENSE,NONE,,SERVICES,gas,5400,
gasté 980 en café,ADD_EXPENSE,NONE,,FOOD,café,980,
gasté 4300 en delivery,ADD_EXPENSE,NONE,,FOOD,delivery,4300,
gasté 2100 en entretenimiento,ADD_EXPENSE,NONE,,ENTERTAINMENT,entretenimiento,2100,
gasté 5000 en cine,ADD_EXPENSE,NONE,,ENTERTAINMENT,cine,5000,
gasté 12000 en supermercado este mes,ADD_EXPENSE,THIS_MONTH,este mes,SUPERMARKET,supermercado,12000,
gasté 300 en kiosco,ADD_EXPENSE,NONE,,OTHER,kiosco,300,
gasté 700 en golosinas,ADD_EXPENSE,NONE,,FOOD,golosinas,700,
pagué 25000 de alquiler en enero,ADD_EXPENSE,MONTH_NAME,enero,RENT,alquiler,25000,
gasté 1800 en taxi ayer,ADD_EXPENSE,YESTERDAY,ayer,TRANSPORT,taxi,1800,
gasté 2200 en uber,ADD_EXPENSE,NONE,,TRANSPORT,uber,2200,
gasté 9500 en supermercado la semana pasada,ADD_EXPENSE,LAST_N_DAYS,la semana pasada,SUPERMARKET,supermercado,9500,
gasté 4000 en comida el mes pasado,ADD_EXPENSE,LAST_MONTH,el mes pasado,FOOD,comida,4000,
gasté 3200 en verdulería,ADD_EXPENSE,NONE,,FOOD,verdulería,3200,
gasté 2800 en carnicería,ADD_EXPENSE,NONE,,FOOD,carnicería,2800,
